Africa Eastern and Southern,AFE,Mobile cellular subscriptions,IT.CEL.SETS,Year,Subscribers
Cambodia,KHM,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Kiribati,KIR,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
"Korea, Rep.",KOR,Mobile cellular subscriptions,IT.CEL.SETS,16522,271927.0
Kuwait,KWT,Mobile cellular subscriptions,IT.CEL.SETS,16522,51000.0
Latin America & Caribbean (excluding high income),LAC,Mobile cellular subscriptions,IT.CEL.SETS,16522,436290.0
Lao PDR,LAO,Mobile cellular subscriptions,IT.CEL.SETS,16522,290.0
Lebanon,LBN,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Liberia,LBR,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Libya,LBY,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Latin America & Caribbean,LCN,Mobile cellular subscriptions,IT.CEL.SETS,16522,647522.0
Least developed countries: UN classification,LDC,Mobile cellular subscriptions,IT.CEL.SETS,16522,2294.0
Low income,LIC,Mobile cellular subscriptions,IT.CEL.SETS,16522,1754.0
Sri Lanka,LKA,Mobile cellular subscriptions,IT.CEL.SETS,16522,2644.0
Lower middle income,LMC,Mobile cellular subscriptions,IT.CEL.SETS,16522,92926.0
Low & middle income,LMY,Mobile cellular subscriptions,IT.CEL.SETS,16522,1276162.0
Lesotho,LSO,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Late-demographic dividend,LTE,Mobile cellular subscriptions,IT.CEL.SETS,16522,1009765.0
Lithuania,LTU,Mobile cellular subscriptions,IT.CEL.SETS,16522,267.0
Luxembourg,LUX,Mobile cellular subscriptions,IT.CEL.SETS,16522,1120.0
Latvia,LVA,Mobile cellular subscriptions,IT.CEL.SETS,16522,1027.0
"Macao SAR, China",MAC,Mobile cellular subscriptions,IT.CEL.SETS,16522,10513.0
Morocco,MAR,Mobile cellular subscriptions,IT.CEL.SETS,16522,3217.0
Monaco,MCO,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Moldova,MDA,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Madagascar,MDG,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Maldives,MDV,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Middle East & North Africa,MEA,Mobile cellular subscriptions,IT.CEL.SETS,16522,191885.0
Mexico,MEX,Mobile cellular subscriptions,IT.CEL.SETS,16522,312647.0
Marshall Islands,MHL,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Middle income,MIC,Mobile cellular subscriptions,IT.CEL.SETS,16522,1274408.0
North Macedonia,MKD,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Mali,MLI,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Malta,MLT,Mobile cellular subscriptions,IT.CEL.SETS,16522,3500.0
Myanmar,MMR,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Middle East & North Africa (excluding high income),MNA,Mobile cellular subscriptions,IT.CEL.SETS,16522,17897.0
Mongolia,MNG,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Mozambique,MOZ,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Mauritania,MRT,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Mauritius,MUS,Mobile cellular subscriptions,IT.CEL.SETS,16522,2912.0
Malawi,MWI,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Malaysia,MYS,Mobile cellular subscriptions,IT.CEL.SETS,16522,200573.0
North America,NAC,Mobile cellular subscriptions,IT.CEL.SETS,16522,12061300.0
Namibia,NAM,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
New Caledonia,NCL,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Niger,NER,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Nigeria,NGA,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Nicaragua,NIC,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Netherlands,NLD,Mobile cellular subscriptions,IT.CEL.SETS,16522,166000.0
Norway,NOR,Mobile cellular subscriptions,IT.CEL.SETS,16522,282918.0
Nepal,NPL,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Nauru,NRU,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
New Zealand,NZL,Mobile cellular subscriptions,IT.CEL.SETS,16522,100200.0
OECD members,OED,Mobile cellular subscriptions,IT.CEL.SETS,16522,21285090.0
Oman,OMN,Mobile cellular subscriptions,IT.CEL.SETS,16522,4721.0
Other small states,OSS,Mobile cellular subscriptions,IT.CEL.SETS,16522,53303.0
Pakistan,PAK,Mobile cellular subscriptions,IT.CEL.SETS,16522,13500.0
Panama,PAN,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Peru,PER,Mobile cellular subscriptions,IT.CEL.SETS,16522,21550.0
Philippines,PHL,Mobile cellular subscriptions,IT.CEL.SETS,16522,56044.0
Papua New Guinea,PNG,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Poland,POL,Mobile cellular subscriptions,IT.CEL.SETS,16522,2195.0
Pre-demographic dividend,PRE,Mobile cellular subscriptions,IT.CEL.SETS,16522,1304.0
Puerto Rico,PRI,Mobile cellular subscriptions,IT.CEL.SETS,16522,60000.0
"Korea, Dem. People's Rep.",PRK,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Portugal,PRT,Mobile cellular subscriptions,IT.CEL.SETS,16522,37262.0
Paraguay,PRY,Mobile cellular subscriptions,IT.CEL.SETS,16522,1500.0
West Bank and Gaza,PSE,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Pacific island small states,PSS,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Post-demographic dividend,PST,Mobile cellular subscriptions,IT.CEL.SETS,16522,21115677.0
French Polynesia,PYF,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Qatar,QAT,Mobile cellular subscriptions,IT.CEL.SETS,16522,4233.0
Romania,ROU,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Russian Federation,RUS,Mobile cellular subscriptions,IT.CEL.SETS,16522,6000.0
Rwanda,RWA,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
South Asia,SAS,Mobile cellular subscriptions,IT.CEL.SETS,16522,16394.0
Saudi Arabia,SAU,Mobile cellular subscriptions,IT.CEL.SETS,16522,15828.0
Sudan,SDN,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Senegal,SEN,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Singapore,SGP,Mobile cellular subscriptions,IT.CEL.SETS,16522,120000.0
Solomon Islands,SLB,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Sierra Leone,SLE,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
El Salvador,SLV,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
San Marino,SMR,Mobile cellular subscriptions,IT.CEL.SETS,16522,900.0
Somalia,SOM,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Sub-Saharan Africa (excluding high income),SSA,Mobile cellular subscriptions,IT.CEL.SETS,16522,17406.0
Sub-Saharan Africa,SSF,Mobile cellular subscriptions,IT.CEL.SETS,16522,17406.0
Small states,SST,Mobile cellular subscriptions,IT.CEL.SETS,16522,66696.0
Sao Tome and Principe,STP,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Suriname,SUR,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Slovak Republic,SVK,Mobile cellular subscriptions,IT.CEL.SETS,16522,1537.0
Slovenia,SVN,Mobile cellular subscriptions,IT.CEL.SETS,16522,3500.0
Sweden,SWE,Mobile cellular subscriptions,IT.CEL.SETS,16522,656000.0
Eswatini,SWZ,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Seychelles,SYC,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Syrian Arab Republic,SYR,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Turks and Caicos Islands,TCA,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Chad,TCD,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,Mobile cellular subscriptions,IT.CEL.SETS,16522,720780.0
Europe & Central Asia (IDA & IBRD countries),TEC,Mobile cellular subscriptions,IT.CEL.SETS,16522,75910.0
Togo,TGO,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Thailand,THA,Mobile cellular subscriptions,IT.CEL.SETS,16522,250584.0
Tajikistan,TJK,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Turkmenistan,TKM,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Mobile cellular subscriptions,IT.CEL.SETS,16522,582884.0
Middle East & North Africa (IDA & IBRD countries),TMN,Mobile cellular subscriptions,IT.CEL.SETS,16522,17897.0
Tonga,TON,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
South Asia (IDA & IBRD),TSA,Mobile cellular subscriptions,IT.CEL.SETS,16522,16394.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,Mobile cellular subscriptions,IT.CEL.SETS,16522,17406.0
Trinidad and Tobago,TTO,Mobile cellular subscriptions,IT.CEL.SETS,16522,1277.0
Tunisia,TUN,Mobile cellular subscriptions,IT.CEL.SETS,16522,1974.0
Turkiye,TUR,Mobile cellular subscriptions,IT.CEL.SETS,16522,61395.0
Tuvalu,TUV,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Tanzania,TZA,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Uganda,UGA,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Ukraine,UKR,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Upper middle income,UMC,Mobile cellular subscriptions,IT.CEL.SETS,16522,1181482.0
Uruguay,URY,Mobile cellular subscriptions,IT.CEL.SETS,16522,1712.0
United States,USA,Mobile cellular subscriptions,IT.CEL.SETS,16522,11032753.0
Uzbekistan,UZB,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
St. Vincent and the Grenadines,VCT,Mobile cellular subscriptions,IT.CEL.SETS,16522,70.0
"Venezuela, RB",VEN,Mobile cellular subscriptions,IT.CEL.SETS,16522,78560.0
Viet Nam,VNM,Mobile cellular subscriptions,IT.CEL.SETS,16522,800.0
Vanuatu,VUT,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
World,WLD,Mobile cellular subscriptions,IT.CEL.SETS,16522,23245154.0
Samoa,WSM,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
"Yemen, Rep.",YEM,Mobile cellular subscriptions,IT.CEL.SETS,16522,1550.0
South Africa,ZAF,Mobile cellular subscriptions,IT.CEL.SETS,16522,12510.0
Zambia,ZMB,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Zimbabwe,ZWE,Mobile cellular subscriptions,IT.CEL.SETS,16522,0.0
Afghanistan,AFG,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Africa Western and Central,AFW,Mobile cellular subscriptions,IT.CEL.SETS,46652,12490.0
Angola,AGO,Mobile cellular subscriptions,IT.CEL.SETS,46652,1100.0
Albania,ALB,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Andorra,AND,Mobile cellular subscriptions,IT.CEL.SETS,46652,780.0
Arab World,ARB,Mobile cellular subscriptions,IT.CEL.SETS,46652,199350.0
United Arab Emirates,ARE,Mobile cellular subscriptions,IT.CEL.SETS,46652,70586.0
Argentina,ARG,Mobile cellular subscriptions,IT.CEL.SETS,46652,112000.0
Armenia,ARM,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
American Samoa,ASM,Mobile cellular subscriptions,IT.CEL.SETS,46652,900.0
Australia,AUS,Mobile cellular subscriptions,IT.CEL.SETS,46652,690000.0
Austria,AUT,Mobile cellular subscriptions,IT.CEL.SETS,46652,220859.0
Azerbaijan,AZE,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Burundi,BDI,Mobile cellular subscriptions,IT.CEL.SETS,46652,353.0
Belgium,BEL,Mobile cellular subscriptions,IT.CEL.SETS,46652,67771.0
Benin,BEN,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Burkina Faso,BFA,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Bangladesh,BGD,Mobile cellular subscriptions,IT.CEL.SETS,46652,500.0
Bulgaria,BGR,Mobile cellular subscriptions,IT.CEL.SETS,46652,1000.0
Bahrain,BHR,Mobile cellular subscriptions,IT.CEL.SETS,46652,11360.0
"Bahamas, The",BHS,Mobile cellular subscriptions,IT.CEL.SETS,46652,2401.0
Bosnia and Herzegovina,BIH,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Belarus,BLR,Mobile cellular subscriptions,IT.CEL.SETS,46652,324.0
Belize,BLZ,Mobile cellular subscriptions,IT.CEL.SETS,46652,400.0
Bermuda,BMU,Mobile cellular subscriptions,IT.CEL.SETS,46652,3400.0
Bolivia,BOL,Mobile cellular subscriptions,IT.CEL.SETS,46652,2659.0
Brazil,BRA,Mobile cellular subscriptions,IT.CEL.SETS,46652,182000.0
Barbados,BRB,Mobile cellular subscriptions,IT.CEL.SETS,46652,1560.0
Brunei Darussalam,BRN,Mobile cellular subscriptions,IT.CEL.SETS,46652,8304.0
Bhutan,BTN,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Botswana,BWA,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Central African Republic,CAF,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Canada,CAN,Mobile cellular subscriptions,IT.CEL.SETS,46652,1332982.0
Central Europe and the Baltics,CEB,Mobile cellular subscriptions,IT.CEL.SETS,46652,110527.0
Switzerland,CHE,Mobile cellular subscriptions,IT.CEL.SETS,46652,257703.0
Chile,CHL,Mobile cellular subscriptions,IT.CEL.SETS,46652,85186.0
China,CHN,Mobile cellular subscriptions,IT.CEL.SETS,46652,638000.0
Cote d'Ivoire,CIV,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Cameroon,CMR,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
"Congo, Rep.",COG,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Colombia,COL,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Comoros,COM,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Cabo Verde,CPV,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Costa Rica,CRI,Mobile cellular subscriptions,IT.CEL.SETS,46652,4533.0
Caribbean small states,CSS,Mobile cellular subscriptions,IT.CEL.SETS,46652,23733.0
Cuba,CUB,Mobile cellular subscriptions,IT.CEL.SETS,46652,500.0
Cayman Islands,CYM,Mobile cellular subscriptions,IT.CEL.SETS,46652,1260.0
Cyprus,CYP,Mobile cellular subscriptions,IT.CEL.SETS,46652,15288.0
Czechia,CZE,Mobile cellular subscriptions,IT.CEL.SETS,46652,14043.0
Germany,DEU,Mobile cellular subscriptions,IT.CEL.SETS,46652,1774378.0
Djibouti,DJI,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Dominica,DMA,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Denmark,DNK,Mobile cellular subscriptions,IT.CEL.SETS,46652,357589.0
Dominican Republic,DOM,Mobile cellular subscriptions,IT.CEL.SETS,46652,10364.0
Algeria,DZA,Mobile cellular subscriptions,IT.CEL.SETS,46652,4781.0
East Asia & Pacific (excluding high income),EAP,Mobile cellular subscriptions,IT.CEL.SETS,46652,1557270.0
Early-demographic dividend,EAR,Mobile cellular subscriptions,IT.CEL.SETS,46652,1155949.0
East Asia & Pacific,EAS,Mobile cellular subscriptions,IT.CEL.SETS,46652,6029736.0
Europe & Central Asia (excluding high income),ECA,Mobile cellular subscriptions,IT.CEL.SETS,46652,96076.0
Europe & Central Asia,ECS,Mobile cellular subscriptions,IT.CEL.SETS,46652,9292868.0
Ecuador,ECU,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
"Egypt, Arab Rep.",EGY,Mobile cellular subscriptions,IT.CEL.SETS,46652,6877.0
Euro area,EMU,Mobile cellular subscriptions,IT.CEL.SETS,46652,5062579.0
Eritrea,ERI,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Spain,ESP,Mobile cellular subscriptions,IT.CEL.SETS,46652,257261.0
Estonia,EST,Mobile cellular subscriptions,IT.CEL.SETS,46652,7224.0
Ethiopia,ETH,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
European Union,EUU,Mobile cellular subscriptions,IT.CEL.SETS,46652,6283304.0
Fragile and conflict affected situations,FCS,Mobile cellular subscriptions,IT.CEL.SETS,46652,197880.0
Finland,FIN,Mobile cellular subscriptions,IT.CEL.SETS,46652,489174.0
Fiji,FJI,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
France,FRA,Mobile cellular subscriptions,IT.CEL.SETS,46652,572000.0
Faroe Islands,FRO,Mobile cellular subscriptions,IT.CEL.SETS,46652,1605.0
"Micronesia, Fed. Sts.",FSM,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Gabon,GAB,Mobile cellular subscriptions,IT.CEL.SETS,46652,1200.0
United Kingdom,GBR,Mobile cellular subscriptions,IT.CEL.SETS,46652,2268000.0
Georgia,GEO,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Ghana,GHA,Mobile cellular subscriptions,IT.CEL.SETS,46652,1742.0
Gibraltar,GIB,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Guinea,GIN,Mobile cellular subscriptions,IT.CEL.SETS,46652,42.0
"Gambia, The",GMB,Mobile cellular subscriptions,IT.CEL.SETS,46652,457.0
Guinea-Bissau,GNB,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Equatorial Guinea,GNQ,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Greece,GRC,Mobile cellular subscriptions,IT.CEL.SETS,46652,48000.0
Grenada,GRD,Mobile cellular subscriptions,IT.CEL.SETS,46652,282.0
Greenland,GRL,Mobile cellular subscriptions,IT.CEL.SETS,46652,438.0
Guatemala,GTM,Mobile cellular subscriptions,IT.CEL.SETS,46652,2990.0
Guam,GUM,Mobile cellular subscriptions,IT.CEL.SETS,46652,1907.0
Guyana,GUY,Mobile cellular subscriptions,IT.CEL.SETS,46652,1029.0
High income,HIC,Mobile cellular subscriptions,IT.CEL.SETS,46652,31450041.0
"Hong Kong SAR, China",HKG,Mobile cellular subscriptions,IT.CEL.SETS,46652,290843.0
Honduras,HND,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Heavily indebted poor countries (HIPC),HPC,Mobile cellular subscriptions,IT.CEL.SETS,46652,6606.0
Croatia,HRV,Mobile cellular subscriptions,IT.CEL.SETS,46652,11382.0
Haiti,HTI,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Hungary,HUN,Mobile cellular subscriptions,IT.CEL.SETS,46652,45712.0
IBRD only,IBD,Mobile cellular subscriptions,IT.CEL.SETS,46652,2776662.0
IDA & IBRD total,IBT,Mobile cellular subscriptions,IT.CEL.SETS,46652,2833835.0
IDA total,IDA,Mobile cellular subscriptions,IT.CEL.SETS,46652,57173.0
IDA blend,IDB,Mobile cellular subscriptions,IT.CEL.SETS,46652,27076.0
Indonesia,IDN,Mobile cellular subscriptions,IT.CEL.SETS,46652,53438.0
IDA only,IDX,Mobile cellular subscriptions,IT.CEL.SETS,46652,30097.0
India,IND,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Ireland,IRL,Mobile cellular subscriptions,IT.CEL.SETS,46652,61100.0
"Iran, Islamic Rep.",IRN,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Iraq,IRQ,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Iceland,ISL,Mobile cellular subscriptions,IT.CEL.SETS,46652,17409.0
Israel,ISR,Mobile cellular subscriptions,IT.CEL.SETS,46652,64484.0
Italy,ITA,Mobile cellular subscriptions,IT.CEL.SETS,46652,1207175.0
Jamaica,JAM,Mobile cellular subscriptions,IT.CEL.SETS,46652,15221.0
Jordan,JOR,Mobile cellular subscriptions,IT.CEL.SETS,46652,1456.0
Japan,JPN,Mobile cellular subscriptions,IT.CEL.SETS,46652,2131367.0
Kazakhstan,KAZ,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Kenya,KEN,Mobile cellular subscriptions,IT.CEL.SETS,46652,1162.0
Kyrgyz Republic,KGZ,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Cambodia,KHM,Mobile cellular subscriptions,IT.CEL.SETS,46652,4810.0
Kiribati,KIR,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
"Korea, Rep.",KOR,Mobile cellular subscriptions,IT.CEL.SETS,46652,471784.0
Kuwait,KWT,Mobile cellular subscriptions,IT.CEL.SETS,46652,64311.0
Latin America & Caribbean (excluding high income),LAC,Mobile cellular subscriptions,IT.CEL.SETS,46652,759888.0
Lao PDR,LAO,Mobile cellular subscriptions,IT.CEL.SETS,46652,340.0
Lebanon,LBN,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Liberia,LBR,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Libya,LBY,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Latin America & Caribbean,LCN,Mobile cellular subscriptions,IT.CEL.SETS,46652,1135572.0
Least developed countries: UN classification,LDC,Mobile cellular subscriptions,IT.CEL.SETS,46652,13415.0
Low income,LIC,Mobile cellular subscriptions,IT.CEL.SETS,46652,5980.0
Sri Lanka,LKA,Mobile cellular subscriptions,IT.CEL.SETS,46652,14687.0
Lower middle income,LMC,Mobile cellular subscriptions,IT.CEL.SETS,46652,182191.0
Low & middle income,LMY,Mobile cellular subscriptions,IT.CEL.SETS,46652,2530841.0
Lesotho,LSO,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Late-demographic dividend,LTE,Mobile cellular subscriptions,IT.CEL.SETS,46652,2104916.0
Lithuania,LTU,Mobile cellular subscriptions,IT.CEL.SETS,46652,1242.0
Luxembourg,LUX,Mobile cellular subscriptions,IT.CEL.SETS,46652,5082.0
Latvia,LVA,Mobile cellular subscriptions,IT.CEL.SETS,46652,3800.0
"Macao SAR, China",MAC,Mobile cellular subscriptions,IT.CEL.SETS,46652,15135.0
Morocco,MAR,Mobile cellular subscriptions,IT.CEL.SETS,46652,6725.0
Monaco,MCO,Mobile cellular subscriptions,IT.CEL.SETS,46652,1150.0
Moldova,MDA,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Madagascar,MDG,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Maldives,MDV,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Middle East & North Africa,MEA,Mobile cellular subscriptions,IT.CEL.SETS,46652,269134.0
Mexico,MEX,Mobile cellular subscriptions,IT.CEL.SETS,46652,386132.0
Marshall Islands,MHL,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Middle income,MIC,Mobile cellular subscriptions,IT.CEL.SETS,46652,2524861.0
North Macedonia,MKD,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Mali,MLI,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Malta,MLT,Mobile cellular subscriptions,IT.CEL.SETS,46652,5300.0
Myanmar,MMR,Mobile cellular subscriptions,IT.CEL.SETS,46652,643.0
Middle East & North Africa (excluding high income),MNA,Mobile cellular subscriptions,IT.CEL.SETS,46652,27278.0
Mongolia,MNG,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Northern Mariana Islands,MNP,Mobile cellular subscriptions,IT.CEL.SETS,46652,732.0
Mozambique,MOZ,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Mauritania,MRT,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Mauritius,MUS,Mobile cellular subscriptions,IT.CEL.SETS,46652,4037.0
Malawi,MWI,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Malaysia,MYS,Mobile cellular subscriptions,IT.CEL.SETS,46652,340022.0
North America,NAC,Mobile cellular subscriptions,IT.CEL.SETS,46652,17345843.0
Namibia,NAM,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
New Caledonia,NCL,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Niger,NER,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Nigeria,NGA,Mobile cellular subscriptions,IT.CEL.SETS,46652,9049.0
Nicaragua,NIC,Mobile cellular subscriptions,IT.CEL.SETS,46652,324.0
Netherlands,NLD,Mobile cellular subscriptions,IT.CEL.SETS,46652,216000.0
Norway,NOR,Mobile cellular subscriptions,IT.CEL.SETS,46652,371403.0
Nepal,NPL,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Nauru,NRU,Mobile cellular subscriptions,IT.CEL.SETS,46652,150.0
New Zealand,NZL,Mobile cellular subscriptions,IT.CEL.SETS,46652,143800.0
OECD members,OED,Mobile cellular subscriptions,IT.CEL.SETS,46652,30567965.0
Oman,OMN,Mobile cellular subscriptions,IT.CEL.SETS,46652,5616.0
Other small states,OSS,Mobile cellular subscriptions,IT.CEL.SETS,46652,76168.0
Pakistan,PAK,Mobile cellular subscriptions,IT.CEL.SETS,46652,16000.0
Panama,PAN,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Peru,PER,Mobile cellular subscriptions,IT.CEL.SETS,46652,36300.0
Philippines,PHL,Mobile cellular subscriptions,IT.CEL.SETS,46652,102400.0
Papua New Guinea,PNG,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Poland,POL,Mobile cellular subscriptions,IT.CEL.SETS,46652,15699.0
Pre-demographic dividend,PRE,Mobile cellular subscriptions,IT.CEL.SETS,46652,12163.0
Puerto Rico,PRI,Mobile cellular subscriptions,IT.CEL.SETS,46652,95000.0
"Korea, Dem. People's Rep.",PRK,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Portugal,PRT,Mobile cellular subscriptions,IT.CEL.SETS,46652,101300.0
Paraguay,PRY,Mobile cellular subscriptions,IT.CEL.SETS,46652,3390.0
West Bank and Gaza,PSE,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Pacific island small states,PSS,Mobile cellular subscriptions,IT.CEL.SETS,46652,150.0
Post-demographic dividend,PST,Mobile cellular subscriptions,IT.CEL.SETS,46652,30340195.0
French Polynesia,PYF,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Qatar,QAT,Mobile cellular subscriptions,IT.CEL.SETS,46652,4289.0
Romania,ROU,Mobile cellular subscriptions,IT.CEL.SETS,46652,800.0
Russian Federation,RUS,Mobile cellular subscriptions,IT.CEL.SETS,46652,10000.0
Rwanda,RWA,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
South Asia,SAS,Mobile cellular subscriptions,IT.CEL.SETS,46652,31187.0
Saudi Arabia,SAU,Mobile cellular subscriptions,IT.CEL.SETS,46652,15910.0
Sudan,SDN,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Senegal,SEN,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Singapore,SGP,Mobile cellular subscriptions,IT.CEL.SETS,46652,179000.0
Solomon Islands,SLB,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
Sierra Leone,SLE,Mobile cellular subscriptions,IT.CEL.SETS,46652,0.0
El Salvador,SLV,Mobile cellular subscriptions,IT.CEL.SETS,46652,1632.0
